EEID,Full Name,Job Title,Department,Bonus %,City,Country,Exit Date
EMP001,Alex Patel,Marketing Specialist,HR,13.09,Jaipur,USA,2023-09-03
EMP002,Dev Mehta,Sales Executive,Finance,20.91,Ahmedabad,Germany,
EMP003,Yash Nair,Product Manager,HR,10.72,Bangalore,India,
EMP004,Shaurya Kapoor,Business Analyst,Product,8.22,Chennai,Canada,2025-09-18
EMP005,Neha Patel,Marketing Specialist,Finance,11.83,Noida,USA,
EMP006,Karan Singh,HR Manager,Product,17.51,Hyderabad,India,2025-09-19
EMP007,Dev Mehta,Data Scientist,HR,24.74,Noida,USA,
EMP008,Aman Patel,Software Engineer,Product,7.96,Chennai,Germany,
EMP009,Sneha Jain,Business Analyst,HR,12.32,Chennai,Germany,
EMP010,Kabir Chopra,Marketing Specialist,Marketing,22.37,Noida,USA,
EMP011,Shaurya Nair,Marketing Specialist,Analytics,11.85,Hyderabad,Canada,
EMP012,Priya Kapoor,Business Analyst,Analytics,5.96,Mumbai,India,2025-01-10
EMP013,Shaurya Sharma,Accountant,Engineering,14.8,Bangalore,Germany,
EMP014,Ishita Gupta,Data Scientist,Sales,18.62,Kolkata,UK,
EMP015,Ananya Gupta,Operations Manager,Sales,21.95,Kolkata,UK,
EMP016,Yash Gupta,Business Analyst,Operations,21.29,Jaipur,USA,
EMP017,Kabir Mehta,Marketing Specialist,Marketing,7.58,Ahmedabad,Germany,
EMP018,Aman Nair,Accountant,Finance,17.29,Hyderabad,USA,
EMP019,Rohan Chopra,Product Manager,Marketing,10.06,Mumbai,Canada,2025-05-15
EMP020,Alex Nair,Data Analyst,HR,16.56,Delhi,UK,2025-02-14
EMP021,Aryan Kapoor,Software Engineer,Operations,6.42,Chennai,USA,
EMP022,Rohan Patel,Operations Manager,Product,21.03,Kolkata,USA,
EMP023,Sneha Chopra,Data Analyst,Finance,16.49,Kolkata,USA,
EMP024,Arjun Gupta,Product Manager,Analytics,17.88,Chennai,USA,
EMP025,Neha Mehta,Product Manager,Engineering,18.33,Bangalore,USA,
EMP026,Yash Sharma,HR Manager,Analytics,21.57,Jaipur,UK,2024-02-07
EMP027,Priya Patel,Data Analyst,HR,22.37,Mumbai,Germany,2023-11-26
EMP028,Nikita Kapoor,Business Analyst,Operations,16.03,Hyderabad,Germany,
